repository_id,repository_name,full_name,owner_username,owner_type,repository_url,description,primary_language,created_at,updated_at,pushed_at,size_kb,stars_count,watchers_count,forks_count,open_issues_count,default_branch,topics,license_name,homepage,has_issues,has_projects,has_wiki,has_pages,is_fork,is_archived,is_disabled,visibility
290879784,igel,nidhaloff/igel,nidhaloff,User,https://github.com/nidhaloff/igel,"a delightful machine learning tool that allows you to train, test, and use models without writing code",Python,2020-08-27T20:54:59Z,2026-08-21T00:30:15Z,2025-12-07T18:25:00Z,19593,3138,3138,210,18,master,"artificial-intelligence, automation, automl, automl-experiments, data-analysis, data-science, hacktoberfest, hacktoberfest2021, machine-learning, machine-learning-algorithms, machine-learning-library, machinelearning, neural-network, neural-networks, preprocessing, scikit-learn, scikitlearn-machine-learning, sklearn",MIT License,https://igel.readthedocs.io/en/latest/,True,True,True,False,False,False,False,public
384111310,devlake,apache/devlake,apache,Organization,https://github.com/apache/devlake,"Apache DevLake is an open-source dev data platform to ingest, analyze, and visualize the fragmented data from DevOps tools, extracting insights for engineering excellence, developer experience, and community growth.",Go,2021-07-08T12:06:09Z,2026-09-15T08:29:43Z,2026-09-14T06:28:42Z,64580,3136,3136,808,54,main,"dashboard-friendly, data, data-analysis, data-engineering, data-integration, data-transfers, devops, domain-layer, dora, etl, golang, hacktoberfest, integration, jira, open-source, user-friendly",Apache License 2.0,https://devlake.apache.org/,True,False,False,False,False,False,False,public
194002712,Financial-Knowledge-Graphs,jm199504/Financial-Knowledge-Graphs,jm199504,User,https://github.com/jm199504/Financial-Knowledge-Graphs,小型金融知识图谱构建流程（neo4j / python / cypher / KG）,Jupyter Notebook,2019-06-27T01:39:14Z,2026-09-14T02:09:43Z,2024-07-07T12:38:04Z,18215,3131,3131,568,10,master,"cypher, data-analysis, graph-database, neo4j, python",,,True,True,True,False,False,False,False,public
262600128,sweetviz,fbdesignpro/sweetviz,fbdesignpro,User,https://github.com/fbdesignpro/sweetviz,"Visualize and compare datasets, target values and associations, with one line of code.",Python,2020-05-09T15:25:47Z,2026-09-12T06:10:25Z,2026-04-11T19:21:12Z,16036,3127,3127,286,41,master,"data-analysis, data-exploration, data-profiling, data-science, data-visualization, eda, exploration, exploratory-data-analysis, machine-learning, pandas, pandas-dataframe, python, statistics",MIT License,,True,True,True,True,False,False,False,public
93925242,xlearn,aksnzhy/xlearn,aksnzhy,User,https://github.com/aksnzhy/xlearn,"High performance, easy-to-use, and scalable machine learning (ML) package, including linear model (LR), factorization machines (FM), and field-aware factorization machines (FFM) for Python and CLI interface.",C++,2017-06-10T08:09:31Z,2026-09-02T09:11:02Z,2023-08-28T05:14:10Z,11184,3089,3089,516,194,master,"data-analysis, data-science, factorization-machines, ffm, fm, machine-learning, statistics",Apache License 2.0,https://xlearn-doc.readthedocs.io/en/latest/index.html,True,True,True,False,False,False,False,public
46631797,100-pandas-puzzles,ajcr/100-pandas-puzzles,ajcr,User,https://github.com/ajcr/100-pandas-puzzles,"100 data puzzles for pandas, ranging from short and simple to super tricky (60% complete)",Jupyter Notebook,2015-11-21T20:09:52Z,2026-09-14T09:56:09Z,2024-07-10T16:50:05Z,168,3032,3032,4009,36,master,"data-analysis, numpy, pandas, python",MIT License,,True,True,True,False,False,False,False,public
1066509034,deepnote,deepnote/deepnote,deepnote,Organization,https://github.com/deepnote/deepnote,"Deepnote is a drop-in replacement for Jupyter with an AI-first design, sleek UI, new blocks, and native data integrations. Use Python, R, and SQL locally in your favorite IDE, then scale to Deepnote cloud for real-time collaboration, Deepnote agent, and deployable data apps. https://deepnote.com/",TypeScript,2025-09-29T15:24:25Z,2026-09-14T14:40:41Z,2026-09-15T09:07:31Z,121524,3008,3008,197,32,main,"artificial-intelligence, data, data-analysis, data-science, data-visualization, deepnote, eda, jupyter, jupyterhub, jupyterlab, machine-learning, notebooks, python, r, sql",Apache License 2.0,https://deepnote.com/?utm_source=github&utm_medium=github&utm_campaign=github&utm_content=readme_main,True,False,False,False,False,False,False,public
108669343,DataFrame,hosseinmoein/DataFrame,hosseinmoein,User,https://github.com/hosseinmoein/DataFrame,"C++ DataFrame for statistical, financial, and ML analysis in modern C++",C++,2017-10-28T17:25:45Z,2026-09-15T09:42:37Z,2026-09-13T16:38:32Z,52028,2983,2983,360,1,master,"ai, cpp, data-analysis, data-science, dataframe, financial-data-analysis, financial-engineering, large-data, machine-learning, multidimensional-data, numerical-analysis, statistical, statistical-analysis, tensor, tensorboard, trading-algorithms, trading-strategies","BSD 3-Clause ""New"" or ""Revised"" License",https://hosseinmoein.github.io/DataFrame/,True,True,True,True,False,False,False,public
376124046,datastation,multiprocessio/datastation,multiprocessio,Organization,https://github.com/multiprocessio/datastation,"App to easily query, script, and visualize data from every database, file, and API.",TypeScript,2021-06-11T19:29:06Z,2026-09-14T14:57:07Z,2023-11-10T18:44:29Z,162412,2953,2953,112,38,main,"apache2, cockroachdb, data-analysis, data-visualization, database, julia, log-analysis, mariadb, mysql, nginx, nodejs, postgresql, python, rstats, ruby, sql, sql-editor, sql-server, sqlite3, syslog",Other,https://datastation.multiprocess.io,True,True,True,False,False,False,False,public
436466520,rill,rilldata/rill,rilldata,Organization,https://github.com/rilldata/rill,The fastest business intelligence tool for humans and agents.,Go,2021-12-09T03:10:31Z,2026-09-15T09:42:37Z,2026-09-15T09:22:51Z,644241,2883,2883,200,214,main,"ai, ai-chatbot, bi, business-analytics, csv, data, data-analysis, data-visualization, dataviz, duckdb, gen-ai, golang, parquet, parquet-tools, parquet-viewer, s3, sql, sql-editor, sveltekit",Apache License 2.0,https://www.rilldata.com,True,True,True,False,False,False,False,public
